internship_title,company_name,location,start_date,duration,stipend,Skills,gender
Event Management,Eva Live LLP,Delhi,Immediately,3 Months,"₹ 10,000 /month","Event planning software (Cvent, Eventbrite), Project management tools (Asana, Trello), Microsoft Office Suite, Budgeting (Excel), Social media marketing",ANY
E-Commerce Sales,Campinators,Work From Home,Immediately,3 Months,"₹ 8,000 /month +  Incentives","Shopify/Amazon, CRM, Digital marketing, Sales funnels, Analytics",Female
Data Entry,Gamahouse Publishing,Work From Home,Immediately,3 Months,"₹ 1,000 /month","Microsoft Excel, Google Sheets, Typing Skills (WPM), Data Entry Software, Attention to Detail",ANY
Front End Operator,Shubham Varshney,Meerut,Immediately,3 Months,"₹ 2,000 /month","Depends on industry (e.g., Broadcasting software, Machine control interface)",ANY
Academic Content Expert - Statistics (English),QA Solvers,Varanasi,Immediately,3 Months,"₹ 15,000-22,000 /month","R, Python (with Pandas, NumPy, SciPy), SPSS, Stata, LaTeX, Microsoft Excel",ANY
Academic Content Expert - Economics (English),QA Solvers,Noida,Immediately,3 Months,"₹ 15,000-22,000 /month","Stata/R/EViews, LaTeX, Excel, Subject expertise",ANY
MIS Executive,Keystone Real Estate Advisory Pvt. Ltd.,Mumbai,Immediately,3 Months,"₹ 5,000 /month","Advanced Microsoft Excel (VLOOKUP, HLOOKUP, Pivot Tables, Macros), SQL, VBA, Tally, SAP, Power BI, Tableau",ANY
Web Development,Joints Health Private Limited,Delhi,Immediately,3 Months,"₹ 6,000 /month +  Incentives","HTML, CSS, JavaScript, React/Angular/Vue, Node.js, SQL/NoSQL, Git",ANY
Statistics,Digipplus,Work From Home,Immediately,3 Months,"₹ 25,000-30,000 /month","R/SPSS/Python, Excel, Statistical theory, Data analysis, Hypothesis testing",ANY
Psychology,Serve Samman,Delhi,Immediately,3 Months,Unpaid,"SPSS/R, Survey tools, NVivo (qualitative), Research databases (PsycINFO), Microsoft Office",ANY
Applications For Data Entry (Content Writing) Internship,GiveIndia,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Typing skills, Microsoft Word/Google Docs, Basic SEO, Grammarly",ANY
Human Resources (HR),Hyundai Electronics,Gurgaon,Immediately,3 Months,"₹ 2,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Logistics And Operations,HealthFlex,Bangalore,Immediately,3 Months,"₹ 15,000-25,000 /month","ERP systems, Transportation Management System (TMS), Warehouse Management System (WMS), Advanced Excel, Supply chain principles",ANY
Business Development,Slikk,Work From Home,Immediately,6 Months,"₹ 7,000 /month","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",Female
Web Development & Digital Marketing,Kaspr International,Pune,Immediately,6 Months,"₹ 6,000 /month","HTML/CSS/JS, WordPress, Google Analytics, SEO, Google Ads, Social media",ANY
Social Media Marketing,Dscovr Journeys Private Limited,Mumbai,Immediately,6 Months,"₹ 8,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Finance,Nitika Agarwal,Patna,Immediately,6 Months,"₹ 2,000 lump sum +  Incentives","Advanced Excel, Tally/QuickBooks, Financial modeling, SAP FICO, Bloomberg",ANY
Content Writing,Failure Before Success,Work From Home,Immediately,6 Months,"₹ 2,500 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",Female
Social Media Content,Vedant More,Work From Home,Immediately,6 Months,"₹ 1,000-1,500 /month","Canva, Adobe Creative Suite, Video editing apps (CapCut), Social media scheduling tools (Buffer, Hootsuite), Copywriting",ANY
Marketing,UpCurve Business Services Private Limited,Pune,Immediately,6 Months,"₹ 5,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Product Support Engineering,Salesken,Indiranagara,Immediately,6 Months,"₹ 20,000 /month","Zendesk/Jira, SQL, Troubleshooting, Product knowledge, APIs, Communication",ANY
Business Strategy,Talentship Global Advisory Forum,Work From Home,Immediately,6 Months,Unpaid,"Excel (modeling), PowerPoint, Market research tools (Statista), Competitive analysis frameworks",ANY
Digital Marketing,Techno Start,Pune,Immediately,6 Months,"₹ 5,000-6,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Social Media,Divyangna Sharma,Work From Home,Immediately,6 Months,"₹ 4,000 /month","Facebook, Instagram, Twitter, LinkedIn, Hootsuite/Buffer, Canva, Analytics",ANY
Python And Java Machine Learning (OpenAI GPT),Arakoo.ai,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Python, Java, TensorFlow/PyTorch, Scikit-learn, OpenAI API, LangChain",ANY
Video Making/Editing,Marketing Moves,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Adobe Premiere Pro/Final Cut Pro, CapCut, After Effects basics",ANY
Business Development Intern (IT Sales),Amit  Khandekar,Pune,Immediately,6 Months,"₹ 10,000 /month","CRM, LinkedIn Sales Navigator, IT services knowledge, Proposal writing",ANY
Business Development (Sales),Innovation Consultants,Work From Home,Immediately,6 Months,"₹ 4,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",Female
Social Media Marketing,Tanay Hargunaney,Taleigao,Immediately,6 Months,"₹ 2,000-10,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Human Resources (HR),Sparsa Digital Private Limited,Gurgaon,Immediately,6 Months,"₹ 5,000-10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Operations,GeoSustain Association,Work From Home,Immediately,6 Months,Unpaid,"ERP, MS Excel, Project management tools, Process optimization, Data analysis",ANY
Website or WordPress Development,Point Blank Range Pvt Ltd,Delhi,Immediately,6 Months,"₹ 2,000-5,000 /month","WordPress, HTML, CSS, JavaScript, PHP, Elementor, Git",ANY
Child Psychology,Starlit Ability Enhancement Services Private Limited,Pune,Immediately,6 Months,"₹ 6,000-10,000 /month","Child assessment tools, Case management, Counseling techniques, MS Office",ANY
Media & Public Relations (PR),De Chevalerie En Rouge,Delhi,Not specified,6 Months,"₹ 7,000-12,000 /month","Cision/Meltwater, Press release writing, Media outreach, Social media",Female
Social Media Marketing,Bodii,Work From Home,Immediately,6 Months,"₹ 3,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Digital Marketing,Aranya Aura Private Limited,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Company Secretary (CS),A&Y Associates,Mumbai,Immediately,6 Months,"₹ 5,000-15,000 /month","MCA Portal (V2, V3), MS Office Suite (Word, Excel, PowerPoint), Legal Research Tools, Compliance Management Software",ANY
Social Media Management,Kainaz Daver,Work From Home,Immediately,6 Months,"₹ 7,000 /month","Hootsuite/Buffer/Later, Canva, Social media analytics, Content calendar, Community engagement",Female
Photography,Arts Shala,Delhi,Immediately,6 Months,"₹ 4,000 /month +  Incentives","DSLR/Mirrorless camera, Adobe Lightroom, Photoshop, Lighting equipment, Composition",ANY
Business Development (Sales),Maa Jagdama Ventures (PrintF),Bangalore,Immediately,6 Months,"₹ 15,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Digital Marketing,The Square Prints,Work From Home,Immediately,6 Months,"₹ 2,000-15,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Digital Marketing,Flashy Panels,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Social Media Marketing & Lead Generation,Right Digital Service,Work From Home,Immediately,6 Months,"₹ 5,000-8,000 /month","Facebook Ads Manager, LinkedIn Ads, Lead generation forms, CRM, Landing page builders, Email marketing tools",Female
Video Creation,Top Talent Bridge,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Video editing software, Camera operation, Scriptwriting, Lighting, Audio",ANY
Business Development (Sales),Dixit Global Tech IT Solutions Private Limited,Bangalore,Immediately,6 Months,"₹ 2,000 /month +  Incentives","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Digital Marketing,DigiKind Co. (DKC),Work From Home,Immediately,6 Months,"₹ 3,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Script Review,Quizzy,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Screenwriting software (Final Draft, Celtx), Microsoft Word, Google Docs, Story Structure Analysis, Constructive feedback skills",ANY
Webflow Design,BuildSuite,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Webflow, Figma, Basic HTML/CSS/JavaScript, LottieFiles, CMS collections, Interactions/Animations",ANY
Founder's Office,Growth4x,Work From Home,Immediately,6 Months,"₹ 1,500 /month +  Incentives","Microsoft Office Suite, Google Workspace, Project management (Asana, Notion), Data analysis (Excel), Communication (Slack)",ANY
Business Development,Gyansthan Education Services LLP,Mumbai,Immediately,6 Months,"₹ 3,000 /month +  Incentives","CRM, LinkedIn Sales Navigator, Sales prospecting tools, Microsoft Office Suite",ANY
UX/UI Design,D'Skin Lab,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month","Figma, Sketch, Adobe XD, InVision, User research methods, Wireframing, Prototyping",ANY
Business Development (Sales),Technest Learning,Work From Home,Immediately,6 Months,"₹ 4,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Film And Video Editing,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month","Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, After Effects, Color grading, Sound design",ANY
Chemistry/Statistics - Subject Matter Expert,CloudBird Digital Private Limited,Work From Home,Immediately,6 Months,"₹ 6,000 /month","ChemDraw, R/SPSS, Subject knowledge, Online teaching tools",ANY
Content Writing,Househat,Pune,Immediately,6 Months,"₹ 8,000 /month","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",Female
International Business Development,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 1,000-3,000 /month","CRM, LinkedIn Sales Navigator, Market research, Cross-cultural communication, Export/import knowledge",ANY
Search Engine Optimization (SEO),Adroitent Incorporation,Work From Home,Immediately,6 Months,"₹ 10,000 /month","SEMrush/Ahrefs, Google Analytics, Search Console, Screaming Frog, Technical/On-page/Off-page SEO",ANY
Business Development (Sales),PNT Academy,Ambernath,Immediately,6 Months,"₹ 5,000-10,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Marketing,Ritikaa Enterprises Private Limited,Mumbai,Not specified,6 Months,"₹ 10,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Administration And Operations,ASMI Not-For-Profit,Gurgaon,Immediately,6 Months,"₹ 1,000-4,000 /month","Microsoft Office Suite, Google Workspace, Project Management tools, ERP systems, Communication tools (Slack)",Female
Electrical Engineering,Elecnovo Private Limited,Bangalore,Immediately,6 Months,"₹ 8,000-10,000 /month","MATLAB/Simulink, PSpice, AutoCAD Electrical, ETAP, PLC programming",ANY
Digital Marketing,FX Retina,Lucknow,Immediately,6 Months,"₹ 4,000-8,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Food Science,Cosy Farms,Mumbai,Immediately,6 Months,"₹ 4,000-8,000 /month","Lab equipment (HPLC, GC-MS), Sensory evaluation techniques, Formulation software, HACCP",ANY
Supply Chain Management (SCM),PickYourTrail,Chennai,Immediately,6 Months,"₹ 8,000 /month","ERP (SAP SCM), WMS/TMS, Advanced Excel, Supply chain analytics",ANY
Algorithm Development,CogniFirst Technologies,Bangalore,Immediately,6 Months,"₹ 20,000 /month","Python/C++/Java, Data Structures, Algorithms, Complexity analysis, Problem-solving",Female
Web And Mobile App Development,MXPERTZ,Indore,Immediately,6 Months,"₹ 2,000 /month","HTML/CSS/JS, React/React Native, Node.js, SQL/NoSQL, Swift/Kotlin, Git",ANY
Business Development (Sales),Creative Ally,Work From Home,Immediately,6 Months,"₹ 5,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Office Admin,Househat,Pune,Immediately,6 Months,"₹ 7,000 /month","MS Office Suite, G Suite, Calendar management, Vendor management",Female
Multimedia Production,Stirring Minds,Delhi,Immediately,6 Months,"₹ 5,000-11,000 /month","Adobe Creative Suite (Premiere, After Effects, Audition, Photoshop), Camera operation",ANY
Online Reputation Management,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 4,000-8,000 /month","Social listening tools (Brand24), Review management platforms, SEO, PR basics",ANY
Product Development And Procurement,Good Roots Kitchenware Private Limited,Chennai,Immediately,6 Months,"₹ 10,000 /month","PLM software, ERP, Excel, Supplier sourcing platforms, Negotiation",ANY
Customer Care,Stirring Minds,Delhi,Immediately,6 Months,"₹ 10,000-12,000 /month","CRM, Zendesk/Freshdesk, Telephony software, Live chat",ANY
Telecalling,Stirring Minds,Delhi,Immediately,6 Months,"₹ 15,000-18,000 /month","CRM, Dialing Software, Microsoft Excel, Google Sheets, Communication Scripts",Female
Media And Public Relations (PR),Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-10,000 /month","Cision/Meltwater, Social media, Press release writing, Media outreach",ANY
Digital Marketing,Wizrdom,Bangalore,Immediately,6 Months,"₹ 5,000-7,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Business Development (Sales),NOIR & BLANCO,Work From Home,Immediately,6 Months,"₹ 6,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",Female
Trial Booking Pre-Sales,Purple Tutor,Work From Home,Immediately,6 Months,"₹ 5,000-10,000 /month","CRM, Calendar management, Communication tools, Product knowledge",ANY
Full Stack Development,Stirring Minds,Delhi,Immediately,6 Months,"₹ 8,000-10,000 /month","JavaScript, React/Angular, Node.js/Python, SQL/NoSQL, HTML/CSS, Git",ANY
Film And Video Editing,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month","Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, After Effects, Color grading, Sound design",ANY
Sales Coordination,Stirring Minds,Delhi,Immediately,6 Months,"₹ 6,000-12,000 /month","CRM, MS Office (Excel, Word), ERP, Communication skills, Order processing",ANY
Social Media Marketing,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 5,000-12,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
AWS DevOps Engineer,Triluxo Technologies Private Limited,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month","AWS services (EC2, S3, IAM, VPC), Terraform/CloudFormation, Jenkins, Docker, Kubernetes, Git, Linux",ANY
Content Writing,Dream Jobs Solutions,Work From Home,Immediately,6 Months,"₹ 3,000 /month +  Incentives","WordPress, SEO tools, Grammarly, Plagiarism checker, Google Docs, Canva",ANY
Lead Generation,Top Talent Bridge,Work From Home,Immediately,6 Months,"₹ 5,000 /month","CRM, LinkedIn Sales Navigator, Email finder tools, Web scraping",ANY
Web Development,U4IC Life,Noida,Immediately,6 Months,"₹ 2,000-10,000 /month","HTML, CSS, JavaScript, React/Angular/Vue, Node.js, SQL/NoSQL, Git",ANY
Subject Matter Expert (SME),Credque,Bangalore,Immediately,6 Months,"₹ 10,000 /month","Subject expertise, Online teaching tools, Content creation, Communication",ANY
Digital Marketing,Pranav Indulkar,Work From Home,Immediately,6 Months,"₹ 1,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Web Development,Affiliated Recruiters,Coimbatore,Immediately,6 Months,"₹ 3,000 /month","HTML, CSS, JavaScript, React/Angular/Vue, Node.js, SQL/NoSQL, Git",ANY
YouTube Content Creation,PrimeFlamingo,Work From Home,Immediately,6 Months,"₹ 1,000 /month","Video editing, Camera/mic operation, YouTube Studio, SEO, Thumbnail design",Female
Human Resources (HR),Stirring Minds,Work From Home,Immediately,6 Months,"₹ 1,000-3,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",Female
Design & Portfolio Management,Sutra Luminis,Noida,Immediately,6 Months,"₹ 15,000 /month","Adobe Creative Suite (Photoshop, Illustrator, InDesign), Figma/Sketch, Behance/Dribbble, Portfolio website builders (Squarespace, Wix)",ANY
"Web Development (HTML, CSS)",Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-8,000 /month","HTML5, CSS3, JavaScript, Git, Version Control (GitHub, GitLab), Code Editors (VS Code, Sublime Text), Browser Developer Tools",ANY
Deals Management,Legacy Growth Partners LLP,Delhi,Immediately,6 Months,"₹ 4,000-6,000 /month","CRM, Sales pipeline tools, Microsoft Excel, Contract management software, Communication tools",ANY
E-commerce Associate,Axe Consultancy And Security Services LLC,Work From Home,Immediately,6 Months,"₹ 3,000-5,000 /month","Shopify/Amazon Seller Central, Excel, Customer service, Digital marketing basics",ANY
Digital Marketing,Raunak Doshi,Kolkata,Immediately,6 Months,"₹ 5,000-10,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Business Development (Sales),Accsus Management,Ahmedabad,Immediately,6 Months,"₹ 7,500-12,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
WordPress Development,Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-10,000 /month","WordPress, PHP, MySQL, HTML, CSS, JavaScript, Page builders (Elementor), Git",ANY
Entrepreneurship,Stirring Minds,Work From Home,Immediately,6 Months,"₹ 10,000-20,000 /month","Business Model Canvas, Lean startup, Excel (for financials), Market research",ANY
Data Analytics,Stirring Minds,Delhi,Immediately,6 Months,"₹ 7,000-10,000 /month","SQL, Python/R, Tableau/Power BI, Advanced Excel, Statistics, Machine learning basics",ANY
Financial Analyst,Trade Brains,Bangalore,Immediately,6 Months,"₹ 12,000 /month","Advanced Excel, Financial modeling, SQL, Tableau/Power BI, Bloomberg",ANY
Social Media Marketing,Black Key Tunes LLP,Mumbai,Immediately,6 Months,"₹ 5,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Video Editing,Sossal,Kolkata,Immediately,6 Months,"₹ 5,000-9,000 /month","Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, After Effects",ANY
Graphic Design,Jordiax Digital,Work From Home,Immediately,6 Months,"₹ 1,000 /month","Adobe Photoshop, Illustrator, InDesign, Figma, Typography, Color theory",ANY
Sales And Marketing,SuperK,Mumbai,Immediately,6 Months,"₹ 5,000 /month +  Incentives","CRM, Google Analytics, SEO/SEM, Social media, Email marketing",ANY
Anchoring,Stars N Celebs,Work From Home,Immediately,6 Months,"₹ 1,000 lump sum","Teleprompter, Public Speaking, Scriptwriting, Camera Presence, Voice Modulation",ANY
Accounting & Tally,Gandhi Institute For Education And Technology,Bhubaneswar,Immediately,6 Months,"₹ 3,000 /month","Tally ERP 9, Advanced Excel, GST/TDS knowledge, Bookkeeping",ANY
Business Development (Sales),Littup,Work From Home,Immediately,6 Months,"₹ 5,000 /month","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",ANY
Marketing,Rajmani Ventures,Bangalore,Immediately,6 Months,"₹ 5,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Python Development,Jewels Infotech,Jaipur,Immediately,6 Months,"₹ 5,000-12,000 /month","Python, Django/Flask, Pandas, NumPy, SQL, Git, REST APIs",ANY
Video Making/Editing,Kaif Mohamemd,Work From Home,Immediately,6 Months,"₹ 3,000 /month","Adobe Premiere Pro/Final Cut Pro, CapCut, After Effects basics",ANY
Sales Consultant,My Next Film Private Limited,Chennai,Immediately,6 Months,"₹ 2,000 /month +  Incentives","CRM, LinkedIn Sales Navigator, Microsoft Office Suite, Presentation Software, Communication Tools",ANY
Customer Success,HappiMynd,Work From Home,Immediately,6 Months,"₹ 5,000 /month","CRM, Helpdesk software, Product analytics tools (Mixpanel), Communication platforms",ANY
Robot Design & Construction,RoboFun Lab Private Limited,Surat,Immediately,6 Months,"₹ 10,000 /month","SolidWorks/AutoCAD, 3D printing, Microcontrollers (Arduino), C++/Python, ROS basics",ANY
Digital Marketing,Grail Maker Innovations,Hyderabad,Immediately,6 Months,"₹ 7,000 /month +  Incentives","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Swift Development,Sinplay Private Limited,Work From Home,Immediately,6 Months,"₹ 20,000 /month","Swift, Xcode, SwiftUI/UIKit, Core Data, Git, REST APIs, Combine framework",ANY
Social Media Marketing,Ampleline,Jaipur,Immediately,6 Months,"₹ 8,000-15,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Social Media Marketing,HAGG Mill Store Private Limited,Noida,Immediately,6 Months,"₹ 5,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Digital Marketing,Big Guy Business Consulting Inc,Work From Home,Immediately,6 Months,"₹ 10,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Mobile App Development,Reubro International,Kochi,Immediately,6 Months,"₹ 8,000 /month","Java/Kotlin (Android), Swift (iOS), React Native/Flutter, Android Studio, Xcode, Firebase, Git",Female
Human Resources (HR),Rankson Incorporation,Pitampura,Immediately,6 Months,"₹ 7,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Digital Marketing,Xpert,Kolkata,Immediately,6 Months,"₹ 20,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
Law/Legal,Consumers Congress,Delhi,Immediately,6 Months,"₹ 1,500-5,000 /month","Legal research (Westlaw, LexisNexis), Case management, MS Word, Legal drafting",ANY
Research,Jarvis Technology & Strategy Consulting,Delhi,Immediately,6 Months,"₹ 20,000 /month","Research databases, Statistical software (R/SPSS), Excel, Survey tools, Academic writing",Female
Video Making/Editing,Sudha Reddy,Work From Home,Immediately,6 Months,"₹ 5,000-15,000 /month","Adobe Premiere Pro/Final Cut Pro, CapCut, After Effects basics",ANY
Content Management,Patientlyours.,Work From Home,Immediately,6 Months,"₹ 3,000 lump sum","CMS (WordPress, Contentful), SEO tools, Google Analytics, HTML basics, Project management tools",ANY
Human Resources (HR),People Konnect Private Limited,Mumbai,Immediately,6 Months,"₹ 10,000 /month","HRIS, ATS, Microsoft Office Suite, LinkedIn Recruiter, Payroll Software",ANY
Marketing,Datsme,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Google Analytics, SEO/SEM, Social media, Email marketing, CRM",ANY
Facebook Marketing,iWebbies Web Solution Private Limited,Noida,Immediately,6 Months,"₹ 12,000 /month","Facebook Ads Manager, Business Suite, Canva, Google Analytics, Copywriting",ANY
Quality Analysis & Quality Control,Solitaire Drugs And Pharma Private Limited (Food And Beverage Division),Kashipur,Immediately,3 Months,"₹ 2,000-5,000 /month","QA methodologies, Testing tools, SQL, Excel, Defect tracking (Jira)",ANY
Digital Marketing,Ken Research,Gurgaon,Immediately,3 Months,"₹ 15,000 /month","Google Analytics, Google Ads, Facebook Ads, SEO tools (SEMrush), Email marketing, WordPress",ANY
IT Recruitment,Wroots Global Private Limited,Bangalore,Immediately,3 Months,"₹ 8,000 /month","ATS, LinkedIn Recruiter, Dice, Boolean search, Technical knowledge",ANY
Content Writing & Reviewing,ShortHills Tech Private Limited,Gurgaon,Immediately,3 Months,"₹ 10,000 /month","Grammarly, Plagiarism checkers, SEO tools, Microsoft Word, Google Docs, Style guides (APA, MLA)",Female
Social Media Marketing,ThinkMerit,Work From Home,Immediately,3 Months,"₹ 2,000-5,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",ANY
Core PHP & Laravel Development,Flair Insights,Work From Home,Immediately,3 Months,"₹ 2,000-3,000 /month","PHP, Laravel, MySQL, HTML/CSS, JavaScript, Composer, Git",ANY
Web Development,"Bomb Consultancy (London, United Kingdom)",Work From Home,Immediately,3 Months,"₹ 5,000 /month","HTML, CSS, JavaScript, React/Angular/Vue, Node.js, SQL/NoSQL, Git",ANY
Mathematics Content Development,Lawtech,Work From Home,Immediately,3 Months,"₹ 8,000-10,000 /month","LaTeX, MathType, GeoGebra, Desmos, Screen recording software, Microsoft Word",ANY
Academic Counseling (Telecalling),Lawtech,Work From Home,Immediately,3 Months,"₹ 10,000 /month","CRM Software, Telephony Software, Microsoft Office Suite (Excel, Word), Google Sheets, Communication Skills",ANY
Email Marketing,Lawtech,Work From Home,Immediately,3 Months,"₹ 5,000-7,000 /month","Mailchimp/Sendinblue, A/B testing, HTML for email, Google Analytics, CRM",ANY
PHP/Zoho Development,InsightCrew,Chandigarh,Immediately,3 Months,"₹ 6,000 /month","PHP, Zoho Creator, Deluge, MySQL, HTML/CSS, JavaScript, Zoho APIs",ANY
Social Media Marketing,INFINITIO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Facebook Ads Manager, Google Analytics, SEO Tools, Hootsuite/Buffer, Canva, Email Marketing Tools",Female
Fintech Java Dev,"Alphamolly (London, United Kingdom)",Work From Home,Immediately,3 Months,£ 50 /month,"Java, Spring Boot, Microservices, SQL/NoSQL, Kafka/RabbitMQ, AWS/Azure, Docker, Kubernetes",ANY
Office Assistance (Travel Firm),Fiers Energy & Infrastructure Consultancy & Services Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","GDS basics, MS Office, CRM, Booking portals, Customer service",Female
Graphic Design (iPad Art),Lawtech,Work From Home,Immediately,3 Months,"₹ 8,000-10,000 /month","Procreate, Apple Pencil, Adobe Fresco, Digital illustration techniques",ANY
Subject Matter Expert (SME) (English),GEMA Education Technology Private Limited,Work From Home,Immediately,3 Months,"₹ 1,000 /month","English grammar, Literature knowledge, Editing/Proofreading, MS Word, Presentation tools",ANY
Video Editing,Tent N' Trails,Work From Home,Immediately,3 Months,"₹ 5,000-7,500 /month","Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve, After Effects",ANY
AI Psychology,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Python/R, Statistical analysis, Knowledge of cognitive science, Survey tools",ANY
Product Management,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Jira, Confluence, Figma, Product analytics (Mixpanel), SQL, A/B testing, Roadmapping",ANY
Business Analytics,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","SQL, Python/R, Tableau/Power BI, Excel, Statistical analysis",ANY
Business Innovation,DeepThought Edutech Ventures Private Limited,Work From Home,Immediately,3 Months,"₹ 2,000 /month","Miro/Mural, Brainstorming techniques, Business Model Canvas, Lean startup methodology, Market research",ANY
Social Media Management & Content Writing,Swagsta,Work From Home,Immediately,3 Months,"₹ 5,000 /month","Hootsuite/Buffer, Canva, Google Analytics, SEO tools, WordPress, Grammarly, Social Media Platforms",Female
C++ Developer,"Akhilesh Gogikar (Houston, United States)",Work From Home,Immediately,3 Months,"₹ 10,000 /month","C++, STL, Data Structures, Algorithms, GDB, CMake, Git",ANY
Business Development (Sales),Agnihotri Securities Ltd,Work From Home,Immediately,3 Months,"₹ 4,500 /month +  Incentives","CRM, LinkedIn, Sales prospecting, Cold outreach, Negotiation",Female
